stock_code,expiry_date,strike_price,datetime,call_open,call_high,call_low,call_close,call_OI,call_volume,put_open,put_high,put_low,put_close,put_OI,put_volume
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:32:00,58.35,58.35,56.75,56.75,73500.0,1475.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:33:00,56.75,56.75,56.3,56.3,73500.0,150.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:34:00,56.3,58.25,56.3,57.75,73450.0,150.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:35:00,57.75,57.75,56.65,56.65,73450.0,150.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:36:00,56.65,56.65,55.9,56.3,73525.0,325.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:37:00,57.15,57.15,56.75,56.75,73525.0,125.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:38:00,56.75,57.9,56.5,57.15,73525.0,675.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:39:00,57.15,58.25,57.15,58.25,73725.0,550.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:40:00,58.25,58.3,57.3,57.3,73725.0,900.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:41:00,57.3,57.5,57.3,57.5,73725.0,25.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:42:00,57.5,57.5,56.25,56.5,73425.0,1225.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:43:00,56.5,57.25,56.15,57.25,73425.0,250.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:44:00,57.25,59.85,56.75,59.4,73425.0,9575.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:45:00,59.4,60.25,58.45,59.05,72325.0,2200.0,622.85,622.85,576.15,576.15,2875.0,75.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:46:00,58.85,58.9,58.25,58.45,72325.0,5025.0,576.15,576.15,576.15,576.15,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:47:00,58.45,58.45,56.95,57.8,72325.0,1775.0,576.15,576.15,576.15,576.15,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:48:00,57.8,59.0,56.8,56.8,70150.0,575.0,576.15,576.15,576.15,576.15,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:49:00,56.8,57.15,56.8,57.15,70150.0,300.0,576.15,576.15,576.15,576.15,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:50:00,57.15,57.75,57.05,57.75,70150.0,150.0,576.15,576.15,576.15,576.15,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:51:00,57.75,57.8,57.45,57.8,70150.0,275.0,576.15,591.95,576.15,591.95,2800.0,75.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:52:00,57.8,57.8,56.8,57.55,69975.0,625.0,591.95,591.95,591.95,591.95,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:53:00,57.55,57.55,55.9,56.35,69975.0,1200.0,591.95,591.95,591.95,591.95,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:54:00,56.35,56.65,55.7,56.65,69975.0,1875.0,591.95,591.95,591.95,591.95,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:55:00,56.65,57.5,56.65,57.3,68625.0,2650.0,591.95,591.95,591.95,591.95,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:56:00,57.3,57.3,56.15,57.1,68625.0,175.0,591.95,591.95,591.95,591.95,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:57:00,57.1,57.9,57.1,57.9,68625.0,600.0,591.95,591.95,591.95,591.95,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:58:00,57.9,58.45,57.65,58.4,67400.0,450.0,591.95,591.95,591.95,591.95,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:59:00,58.4,58.4,57.55,57.55,67400.0,225.0,591.95,591.95,591.95,591.95,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:00:00,57.55,57.55,56.65,56.65,67600.0,175.0,591.95,591.95,591.95,591.95,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:01:00,56.65,57.4,56.65,57.4,67600.0,150.0,591.95,591.95,591.95,591.95,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:02:00,57.4,57.9,57.05,57.9,67600.0,400.0,591.95,591.95,591.95,591.95,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:03:00,57.9,58.25,57.75,57.75,67600.0,475.0,591.95,591.95,591.95,591.95,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:04:00,57.75,57.75,54.85,54.85,68350.0,2325.0,591.95,591.95,590.0,590.0,2875.0,25.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:05:00,54.85,56.2,54.85,56.2,68350.0,525.0,590.0,590.0,590.0,590.0,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:06:00,56.2,56.2,55.45,55.55,68350.0,1975.0,590.0,590.0,590.0,590.0,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:07:00,55.55,55.55,53.5,54.05,67775.0,1475.0,590.0,590.0,590.0,590.0,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:08:00,54.05,54.8,54.05,54.05,67775.0,1050.0,590.0,590.0,590.0,590.0,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:09:00,54.05,54.35,52.8,53.45,67775.0,300.0,590.0,590.0,590.0,590.0,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:10:00,53.45,54.3,53.35,53.35,67625.0,4975.0,590.0,590.0,590.0,590.0,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:11:00,53.35,53.7,51.8,51.8,67625.0,2600.0,590.0,590.0,590.0,590.0,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:12:00,51.55,52.3,50.9,52.0,72750.0,4100.0,590.0,590.0,590.0,590.0,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:13:00,52.0,53.1,52.0,52.6,72750.0,3175.0,590.0,590.0,590.0,590.0,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:14:00,52.6,54.4,52.6,53.3,72750.0,1225.0,590.0,590.0,590.0,590.0,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:15:00,53.3,55.0,53.3,55.0,73025.0,25.0,590.0,590.0,590.0,590.0,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:16:00,55.0,55.1,54.2,54.2,73025.0,850.0,590.0,590.0,590.0,590.0,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:17:00,54.2,55.5,54.2,55.5,73025.0,350.0,590.0,593.3,590.0,593.3,2875.0,100.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:18:00,55.5,55.5,54.6,54.6,73025.0,275.0,593.3,593.3,593.3,593.3,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:19:00,54.6,54.6,53.35,53.35,73425.0,100.0,593.3,593.3,593.3,593.3,2875.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 12:20:00,53.35,54.45,53.3,54.45,73425.0,250.0,593.3,593.3,593.3,593.3,2875.0,0.0
